HOLDDATE,0,1,2,3,4,5,6,7,8,9
2010-06-30,"Omega Advisors, Inc.","Maverick Capital, Ltd.",Franklin Templeton Investment Management Ltd.,"Davis Selected Advisers, L.P.","Virtus Investment Advisers, Inc.","Ariel Investments, LLC",Marathon Asset Management LLP,"Select Equity Group, L.P.","Pzena Investment Management, LLC","OrbiMed Advisors, LLC"
2010-09-30,"Legg Mason Asset Management (Japan) Co., Ltd.","HBK Investments, L.P.","Conning, Inc.",GAM International Management Ltd.,"Southeastern Asset Management, Inc.","Virtus Investment Advisers, Inc.",Paulson & Co. Inc.,"Select Equity Group, L.P.","Moore Capital Management, LP","Highfields Capital Management, L.P."
2010-12-31,"Spectrum Asset Management, Inc.","Virtus Investment Advisers, Inc.","Moore Capital Management, LP","Glenview Capital Management, LLC","Conning, Inc.","Legg Mason Asset Management (Japan) Co., Ltd.","Highfields Capital Management, L.P.",Paulson & Co. Inc.,"Southeastern Asset Management, Inc.","Select Equity Group, L.P."
2011-03-31,"Moore Capital Management, LP","Sculptor Capital Management, Inc",GAM International Management Ltd.,"Soros Fund Management, L.L.C.","Kayne Anderson Capital Advisors, L.P.","Southeastern Asset Management, Inc.","Alyeska Investment Group, L.P.","HBK Investments, L.P.",Franklin Templeton Investment Management Ltd.,Balyasny Asset Management LP
2011-06-30,"Omega Advisors, Inc.",Sun Life Assurance Company of Canada (Toronto),Magnetar Capital Partners LP,"Highfields Capital Management, L.P.","Sculptor Capital Management, Inc","Southeastern Asset Management, Inc.",Paulson & Co. Inc.,"Select Equity Group, L.P.",Balyasny Asset Management LP,"Alyeska Investment Group, L.P."
2011-09-30,GAM International Management Ltd.,"Legg Mason Asset Management (Japan) Co., Ltd.",Magnetar Capital Partners LP,Platinum Investment Management Ltd.,Franklin Templeton Investments Australia Ltd.,Balyasny Asset Management LP,PIMCO (US),"Alyeska Investment Group, L.P.","Southeastern Asset Management, Inc.",Paulson & Co. Inc.
2011-12-31,"Moore Capital Management, LP","Alyeska Investment Group, L.P.",Paloma Partners Management Company,"HBK Investments, L.P.",Lindsell Train Limited,Balyasny Asset Management LP,"Fortress Investment Group, L.L.C.",Magnetar Capital Partners LP,"Legg Mason Asset Management (Japan) Co., Ltd.","Brookfield Asset Management, Inc."
2012-03-31,"HBK Investments, L.P.","Moore Capital Management, LP","Omega Advisors, Inc.","Legg Mason Asset Management (Japan) Co., Ltd.","Alyeska Investment Group, L.P.","OrbiMed Advisors, LLC","Select Equity Group, L.P.","Highfields Capital Management, L.P.",Balyasny Asset Management LP,Platinum Investment Management Ltd.
2012-06-30,"Select Equity Group, L.P.","Matthews International Capital Management, L.L.C.",GAM International Management Ltd.,"Alyeska Investment Group, L.P.",Platinum Investment Management Ltd.,"HBK Investments, L.P.","Southeastern Asset Management, Inc.","Legg Mason Asset Management (Japan) Co., Ltd.","Tweedy, Browne Company LLC","King Street Capital Management, L.P."
2012-09-30,BlackRock Asset Management Deutschland AG,"Highfields Capital Management, L.P.","Select Equity Group, L.P.",Balyasny Asset Management LP,BlackRock (Singapore) Limited,"OrbiMed Advisors, LLC",Lindsell Train Limited,Platinum Investment Management Ltd.,"Sculptor Capital Management, Inc","Alyeska Investment Group, L.P."
2012-12-31,"OrbiMed Advisors, LLC",PIMCO (US),Tudor Investment Corporation,"Alyeska Investment Group, L.P.","Moore Capital Management, LP","Omega Advisors, Inc.","Soros Fund Management, L.L.C.",BlackRock Asset Management Deutschland AG,"Sculptor Capital Management, Inc",Caxton Associates LP
2013-03-31,"Select Equity Group, L.P.","Legg Mason Asset Management (Japan) Co., Ltd.",Causeway Capital Management LLC,Platinum Investment Management Ltd.,"Appaloosa Management, L.P.","OrbiMed Advisors, LLC",PointState Capital LP,"BlueMountain Capital Management, LLC",Tudor Investment Corporation,"Soros Fund Management, L.L.C."
2013-06-30,"Soros Fund Management, L.L.C.","Matthews International Capital Management, L.L.C.","Legg Mason Asset Management (Japan) Co., Ltd.","HBK Investments, L.P.",Berkshire Hathaway Inc.,Platinum Investment Management Ltd.,Franklin Templeton Investment Management Ltd.,"Omega Advisors, Inc.","Southeastern Asset Management, Inc.","Fortress Investment Group, L.L.C."
2013-09-30,Aegon Asset Management Ltd,Franklin Templeton Investment Management Ltd.,"Legg Mason Asset Management (Japan) Co., Ltd.",Lindsell Train Limited,Tudor Investment Corporation,Marathon Asset Management LLP,"ValueAct Capital Management, L.P.",BlackRock (Singapore) Limited,"Kayne Anderson Capital Advisors, L.P.",Magnetar Capital Partners LP
2013-12-31,"Glenview Capital Management, LLC","Highfields Capital Management, L.P.","Soros Fund Management, L.L.C.",Fir Tree Partners,"New York Life Investment Management, LLC","Kayne Anderson Capital Advisors, L.P.",Franklin Templeton Investment Management Ltd.,Magnetar Capital Partners LP,Lindsell Train Limited,Sun Life Assurance Company of Canada (Toronto)
2014-03-31,"Matthews International Capital Management, L.L.C.",Platinum Investment Management Ltd.,"HBK Investments, L.P.",Franklin Templeton Investment Management Ltd.,Sun Life Assurance Company of Canada (Toronto),"OrbiMed Advisors, LLC",Causeway Capital Management LLC,"Moore Capital Management, LP","Omega Advisors, Inc.","Legg Mason Asset Management (Japan) Co., Ltd."
2014-06-30,Paulson & Co. Inc.,"BlueMountain Capital Management, LLC",Fir Tree Partners,"ValueAct Capital Management, L.P.",Platinum Investment Management Ltd.,PointState Capital LP,"Discovery Capital Management, LLC",Viking Global Investors LP,"Moore Capital Management, LP","HBK Investments, L.P."
2014-09-30,"Glenview Capital Management, LLC",Platinum Investment Management Ltd.,"Tweedy, Browne Company LLC","Fortress Investment Group, L.L.C.",Sun Life Assurance Company of Canada (Toronto),"Moore Capital Management, LP","Legg Mason Asset Management (Japan) Co., Ltd.",BlueCrest Capital Management LLP,"Omega Advisors, Inc.",Franklin Templeton Investment Management Ltd.
2014-12-31,Causeway Capital Management LLC,"Fortress Investment Group, L.L.C.","Omega Advisors, Inc.","Moore Capital Management, LP","Glenview Capital Management, LLC",Lindsell Train Limited,Berkshire Hathaway Inc.,BlueCrest Capital Management LLP,"New York Life Investment Management, LLC","Westchester Capital Management, LLC"
2015-03-31,Platinum Investment Management Ltd.,"Sculptor Capital Management, Inc",BlueCrest Capital Management LLP,"Omega Advisors, Inc.","Glenview Capital Management, LLC","Moore Capital Management, LP","Soros Fund Management, L.L.C.",Aegon Asset Management Ltd,Franklin Templeton Investment Management Ltd.,Ares Management LLC
2015-06-30,"HBK Investments, L.P.","Matthews International Capital Management, L.L.C.","Highfields Capital Management, L.P.","Glenview Capital Management, LLC","Moore Capital Management, LP",Platinum Investment Management Ltd.,"Omega Advisors, Inc.","Bridgewater Associates, LP","Soros Fund Management, L.L.C.",Franklin Templeton Investment Management Ltd.
2015-09-30,The Blackstone Group,Aegon Asset Management Ltd,"Moore Capital Management, LP","Select Equity Group, L.P.","Sculptor Capital Management, Inc","Fortress Investment Group, L.L.C.","BlueMountain Capital Management, LLC","Soros Fund Management, L.L.C.",BlueCrest Capital Management LLP,"Glenview Capital Management, LLC"
2015-12-31,"Glenview Capital Management, LLC",Fidelity Investments Canada ULC,"Omega Advisors, Inc.",Franklin Templeton Investments Australia Ltd.,"Kayne Anderson Capital Advisors, L.P.","New York Life Investment Management, LLC","Highfields Capital Management, L.P.","Sculptor Capital Management, Inc","Oaktree Capital Management, L.P.",Magnetar Capital Partners LP
2016-03-31,"Omega Advisors, Inc.","HBK Investments, L.P.","Matthews International Capital Management, L.L.C.",Lindsell Train Limited,"Moore Capital Management, LP",Prudential Financial Securities Invt.Trust Enterprise Ltd.,Berkshire Hathaway Inc.,Elliott Management Corporation,"Glenview Capital Management, LLC",Platinum Investment Management Ltd.
2016-06-30,Paulson & Co. Inc.,The Blackstone Group,"Sculptor Capital Management, Inc",Standard Life Investments (Corporate Funds) Ltd,Viking Global Investors LP,"Legg Mason Asset Management (Japan) Co., Ltd.","New York Life Investment Management, LLC","Southeastern Asset Management, Inc.","Moore Capital Management, LP",Elliott Management Corporation
2016-09-30,"Fortress Investment Group, L.L.C.","Trian Fund Management, L.P.","New York Life Investment Management, LLC",BlueCrest Capital Management LLP,"Sculptor Capital Management, Inc",Standard Life Investments (Corporate Funds) Ltd,"Legg Mason Asset Management (Japan) Co., Ltd.","Maverick Capital, Ltd.","Matthews International Capital Management, L.L.C.","Moore Capital Management, LP"
2016-12-31,"Sculptor Capital Management, Inc","Omega Advisors, Inc.","HBK Investments, L.P.",GAM International Management Ltd.,"Oaktree Capital Management, L.P.",Caxton Associates LP,BlueCrest Capital Management LLP,Magnetar Capital Partners LP,Virtus Etf Advisers LLC,"Kayne Anderson Capital Advisors, L.P."
2017-03-31,"Omega Advisors, Inc.",Magnetar Capital Partners LP,Paulson & Co. Inc.,"HBK Investments, L.P.",Lindsell Train Limited,Standard Life Investments (Corporate Funds) Ltd,"Glenview Capital Management, LLC",Arrowgrass Capital Partners (US) LP,Virtus Etf Advisers LLC,Viking Global Investors LP
2017-06-30,"Trian Fund Management, L.P.",Paulson & Co. Inc.,"Omega Advisors, Inc.",GAM International Management Ltd.,"Legg Mason Asset Management (Japan) Co., Ltd.",Arrowgrass Capital Partners (US) LP,Caxton Associates LP,Standard Life Investments (Corporate Funds) Ltd,"Xponance, Inc.","Southeastern Asset Management, Inc."
2017-09-30,"Oaktree Capital Management, L.P.","HBK Investments, L.P.",Arrowgrass Capital Partners (US) LP,"Kayne Anderson Capital Advisors, L.P.",Ares Management LLC,Virtus Etf Advisers LLC,"Brookfield Asset Management, Inc.",Paulson & Co. Inc.,Platinum Investment Management Ltd.,"Farallon Capital Management, L.L.C."
2017-12-31,"Omega Advisors, Inc.","Matthews International Capital Management, L.L.C.","Tiger Global Management, L.L.C.","Moore Capital Management, LP",Berkshire Hathaway Inc.,Caxton Associates LP,"Glenview Capital Management, LLC",Platinum Investment Management Ltd.,PointState Capital LP,"Maverick Capital, Ltd."
2018-03-31,"Oaktree Capital Management, L.P.","Soros Fund Management, L.L.C.","Tiger Global Management, L.L.C.","Farallon Capital Management, L.L.C.",York Capital Management L P.,GAM Capital Management (Switzerland) AG,"Greenlight Capital, Inc.",Ares Management LLC,"Select Equity Group, L.P.","Coatue Management, L.L.C."
2018-06-30,Standard Life Investments (Corporate Funds) Ltd,"Coatue Management, L.L.C.","Glenview Capital Management, LLC","Sculptor Capital Management, Inc","Moore Capital Management, LP",Causeway Capital Management LLC,"Appaloosa Management, L.P.",Platinum Investment Management Ltd.,Tudor Investment Corporation,"Southeastern Asset Management, Inc."
2018-09-30,Platinum Investment Management Ltd.,"Omega Advisors, Inc.",Arrowgrass Capital Partners (US) LP,"Spectrum Asset Management, Inc.","Matthews International Capital Management, L.L.C.",PointState Capital LP,"Apollo Global Management, LLC",Paulson & Co. Inc.,"Kayne Anderson Capital Advisors, L.P.","Farallon Capital Management, L.L.C."
2018-12-31,Ares Management LLC,Arrowgrass Capital Partners (US) LP,Franklin Templeton Investment Management Ltd.,"Tiger Global Management, L.L.C.",Magnetar Capital Partners LP,Lindsell Train Limited,Berkshire Hathaway Inc.,"Oaktree Capital Management, L.P.",Virtus Etf Advisers LLC,Causeway Capital Management LLC
2019-03-31,"OrbiMed Advisors, LLC","Bridgewater Associates, LP","Tiger Global Management, L.L.C.","Kayne Anderson Capital Advisors, L.P.","Fortress Investment Group, L.L.C.",Magnetar Capital Partners LP,Platinum Investment Management Ltd.,"Southeastern Asset Management, Inc.",Franklin Templeton Investment Management Ltd.,"Matthews International Capital Management, L.L.C."
2019-06-30,Franklin Templeton Investments Australia Ltd.,"Invesco Management Group, Inc.",GAM International Management Ltd.,"BlueMountain Capital Management, LLC","Element Capital Management, LLC","Tiger Global Management, L.L.C.",Arrowgrass Capital Partners (US) LP,"Hartford Funds Management Company, LLC","Soros Fund Management, L.L.C.","Xponance, Inc."
2019-09-30,"Xponance, Inc.","Fortress Investment Group, L.L.C.",Franklin Templeton Investments Australia Ltd.,"Element Capital Management, LLC","Sculptor Capital Management, Inc","Soros Fund Management, L.L.C.",PIMCO (US),"Southeastern Asset Management, Inc.",Franklin Templeton International Services SARL,"Invesco Management Group, Inc."
2019-12-31,"New York Life Investment Management, LLC","Tiger Global Management, L.L.C.","Glenview Capital Management, LLC","Hartford Funds Management Company, LLC","Soros Fund Management, L.L.C.",Viking Global Investors LP,Franklin Templeton Investments Australia Ltd.,Causeway Capital Management LLC,"Sculptor Capital Management, Inc",Sun Life Assurance Company of Canada (Toronto)
2020-03-31,"Tiger Global Management, L.L.C.","Kayne Anderson Capital Advisors, L.P.","Oaktree Capital Management, L.P.","Sculptor Capital Management, Inc","OrbiMed Advisors, LLC","Tweedy, Browne Company LLC","Principal Street Partners, LLC",Sun Life Assurance Company of Canada (Toronto),"Coatue Management, L.L.C.",Tilden Park Capital Management LP
2020-06-30,Causeway Capital Management LLC,"HBK Investments, L.P.","Kayne Anderson Capital Advisors, L.P.","Xponance, Inc.","BlueMountain Capital Management, LLC",Franklin Templeton Investments Australia Ltd.,"Bridgewater Associates, LP",Cevian Capital,"Tweedy, Browne Company LLC","Principal Street Partners, LLC"
